Year,count
1890,1
1894,4
1895,2
1896,3
1897,9
1898,4
1899,4
1900,13
1901,4
1902,8
1903,17
1904,2
1906,5
1907,14
1908,34
1909,45
1910,11
1911,10
1912,11
1913,22
1914,31
1915,74
1916,99
1917,130
1918,71
1919,85
1920,84
1921,65
1922,65
1923,64
1924,66
1925,81
1926,62
1927,65
1928,53
1929,50
1930,51
1931,76
1932,94
1933,85
1934,71
1935,102
1936,93
1937,92
1938,81
1939,91
1940,103
1941,71
1942,79
1943,82
1944,69
1945,77
1946,81
1947,92
1948,92
1949,99
1950,127
1951,126
1952,120
1953,128
1954,97
1955,99
1956,121
1957,131
1958,122
1959,125
1960,118
1961,122
1962,133
1963,134
1964,140
1965,151
1966,158
1967,176
1968,188
1969,193
1970,211
1971,194
1972,195
1973,202
1974,228
1975,205
1976,217
1977,191
1978,233
1979,234
1980,212
1981,223
1982,235
1983,242
1984,285
1985,291
1986,286
1987,276
1988,327
1989,320
1990,326
1991,323
1992,338
1993,359
1994,389
1995,455
1996,497
1997,525
1998,589
1999,658
2000,778
2001,815
2002,822
2003,1090
2004,1332
2005,1519
2006,1850
2007,1897
2008,2229
2009,2352
2010,2016
2011,2240
2012,2314
2013,2331
2014,2450
2015,2910
2016,3275
2017,3223
2018,942
2019,84
2020,25
2021,2
2022,1
